name1,name2,street1,street2,city,state,zip,phone,intake1,intake2,intake1a,intake2a,service_code_info
Brien Center,,60 Cottage Street,,Great Barrington,MA,01230,413-528-9156,,,,,SA MH SUMH * OP * OMH * NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PVTN * MC MD MI OSF PI SF SI SMHA * SS * CJ CO SMI * STU * TCC * SMON * CHLD YAD ADLT SNR * VAPN * AOT COOT FPSY CM SPS
ServiceNet OP Behavioral Center,Greenfield Outpatient Clinic,55 Federal Street,,Greenfield,MA,01301,413-584-6885 x2,413-584-6855,413-549-0095 x1,,,SA MH SUMH * OP * CBHC * FLUPH HALOP PERPH THIOR ARIPI ASENA CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NSC ANTPYCH * CBT CFT DBT GT IDD IPT TMS TELE AIM * PVTN * MC MD MI PI SF SI VAF * SE CO TRMA SMI * STU * MST * HS PEER * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * ACT CDM COOT DEC FPSY ICM CM IPC SPS
VA Central Western Massachusetts,Greenfield Outpatient Clinic,143 Munson Street,,Greenfield,MA,01301,413-584-4040 x6400,,,,,SA MH SUMH * OP * VAHC * NRT NSC ANTPYCH * CBT CFT GT IDD IPT TELE * WI * FED VAMC * MC MD MI PI SF VAF * SE GL VET ADM MF CJ CO TRMA TBI ALZ PTSD SMI * STU * LABT * HS * TCC * SMON * YAD ADLT SNR * VAPN * COOT DEC FPSY ICM SEMP SH VRS CM IPC SPS
Cape Cod Human Services,Fontaine Medical Center,525 Long Pond Drive,,Harwich,MA,02645,508-430-3350,508-430-5030,800-513-4728,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ THIOT TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT * PVTN * ITU MC MD PI SF SI * SE GL VET MF CO HV TRMA ALZ PTSD SED SMI * STU * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT FPSY CM IPC SPS
Haverhill Pavilion Behavioral Health,Adult/Geriatric Inpatient,76 Summer Street,,Haverhill,MA,01830,978-373-8222,800-215-8003,978-556-6286,,,SA MH SUMH * HI * PSY * CHLOR FLUPH HALOP LOXAP PERPH THIOT TRIFL ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT DBT GT IDD * PVTP * MC MD MI PI SF SI SMHA * CO * STU * HIVT TBS MST HBT HCT LABT * TCC * SMON * ADLT SNR * VAPN
Holy Family Hospital Haverhill,Center for Behavioral Medicine,140 Lincoln Avenue,,Haverhill,MA,01830,978-687-0156 x2947,781-278-6670,,,,MH SUMH * HI * IPSY * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI CLOZA LURAS OLANZ QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CFT GT IDD IPT * PEON WI * PVTP * MC MD MI PI SF SI * SE ALZ * STU * LABT * TCC * SMON * SNR * AH * VAPN * COOT FPSY IMR
New Horizons Medical,,62 Brown Street,Suite 505,Haverhill,MA,01830,978-361-9993,,,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT ANTPYCH * AT CBT CFT DBT ECT GT IDD IPT TELE * PVTP * FQHC MHC * CLF ITU MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * SS * TAY SE GL VET ADM MF CJ CO HV TRMA TBI ALZ PED PTSD SMI * STU * LABT * PEER * TCC * SMON * YAD ADLT SNR * AH SP FX * F28 F42 F67 F70 * VAPN * ACT CDM COOT DEC FPSY ICM IMR PRS TPC VRS CM SPS ES
Behavioral Health Network (BHN),City Clinic,235 Maple Street,,Holyoke,MA,01040,413-747-0705,413-246-9675 x6861,,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE NSC ANTPYCH * CBT CFT GT IDD IPT TELE * CIT PEON PEOFF WI * PVTN * MC MD MI PI SF * PA SS * TAY SE CO TRMA PTSD SED SMI * STU * TBS * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP * VAPN * DEC FPSY CM SPS
Holyoke Medical Center Inc,Partial Hosp and Intensive Outpt Prog,575 Beech Street,,Holyoke,MA,01040,413-534-2653,,,,,SA MH SUMH * HI OP PHDT * PH * CHLOR FLUPH HALOP LOXAP PERPH PROCH ARIPI BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TMS TELE * CIT PEON PEOFF * PVTN * MC MD MI PI SF SI * TAY SE GL VET ADM MF CJ CO HV DV TRMA TBI PEFP PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * YAD ADLT SNR * VAPN * CDM DEC FPSY IMR LAD CM SPS ES
River Valley Counseling Center,,303 Beech Street,,Holyoke,MA,01040,413-246-0058,413-540-1234,,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ THIOT TRIFL ARIPI BREXP CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PVTN * FG MC MD MI PI SF SI SMHA * TAY GL CO HV SED * STU * TBS * TCC * SMON * CHLD YAD ADLT SNR * AH SP * VAPN * COOT FPSY CM SPS
ServiceNet OP Behavioral Center,Holyoke Outpatient Clinic,98 Lower Westfield Road,Suite 2,Holyoke,MA,01040,413-584-6855 x2,413-585-1328,413-584-6855 x1,,,SA MH SUMH * OP * CMHC * FLUPH HALOP PERPH THIOR ARIPI ASENA CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NSC ANTPYCH * CBT CFT GT IDD IPT TELE AIM * PVTN * MC MD MI PI SF SI VAF * SE CO TRMA SMI * STU * SMON * CHLD YAD ADLT SNR * AH SP FX * F25 F66 * VAPN * COOT FPSY SPS
Cape Cod Hospital,Centers for Behavioral Health,27 Park Street,,Hyannis,MA,02601,508-862-7670,508-862-7352,508-790-4607,,,SA MH SUMH * HI OP PHDT * PH * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT GT IDD IPT TELE AIM * CIT PEON WI * PVTN * ITU MC MD MI PI SF SI * TAY SE GL VET MF CJ CO HV TRMA PTSD SMI * STU * MST LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * CDM COOT FPSY CM IPC SPS
Cape Cod Human Services,,460 West Main Street,,Hyannis,MA,02601,508-790-3375,508-790-3360,,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ THIOT TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT * PVTN * ITU MC MD PI SF SI * SE GL VET MF CO HV TRMA ALZ PTSD SED SMI * STU * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT FPSY CM IPC SPS
Mental Health Clinic,Barnstable,- - -,,Hyannis,MA,02601,508-778-1839,,,,,SA MH SUMH * OP * OMH * CBT CFT DBT GT IDD IPT * PVTN * MC MD PI SF * SMPD * CHLD YAD ADLT SNR * AH * VPPD
Arbour Counseling Services,Jamaica Plain,157 Green Street,,Jamaica Plain,MA,02130,617-524-1120,617-390-1295,,,,SA MH SUMH * OP PHDT * OMH * CBT CFT DBT GT IDD IPT TELE * PVTP * MC MD PI SCJJ SF SI SMHA SWFS * CO PTSD * STU * PEER * TCC * SMON * CHLD YAD ADLT SNR * SP * VAPN * CDM COOT IMR SPS
Italian Home for Children,,1125 Centre Street,,Jamaica Plain,MA,02130,617-524-3116,,,,,MH SUMH * OP PHDT RES * MSMH * AT CBT CFT GT IPT TELE * CIT PEON * PVTN * MD PI SEF SF SI SMHA SWFS * GL VET MF CO TRMA PED PTSD SED * PEER * SMON * CHLD YAD * AH SP FX * F67 * VAPN * FPSY CM ES
Alliance Lifetime Mental Health,,15 Union Street,"Building C, Suite 204",Lawrence,MA,01840,978-655-7782,,,,,MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL CARIP CLOZA OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT EMDR GT IPT TELE AIM * CIT * PVTP * MC MD PI SF SI SMHA * SS * TAY VET SED * STU * TCC * SMON * CHLD YAD ADLT SNR * SP * VAPN * FPSY SPS
JRI Lawrence,Behavioral Health Center,15 Union Street,Suite 215,Lawrence,MA,01840,978-682-7289,,,,,SA MH SUMH * OP * OMH * AT CBT CFT DBT GT IDD IPT TELE * PVTN * MC MD OSF PI SF SMHA SWFS * TAY SE GL CO TRMA PTSD SED SMI * STU * SMPD * CHLD YAD ADLT SNR * AH SP FX * F17 F19 F30 F67 * VPPD * COOT FPSY ICM CM IPC
South Bay Community Services,,360 Merrimack Street,"Building 9, Entrance H",Lawrence,MA,01843,978-688-4830 x1150,508-427-5362,,,,SA MH SUMH * OP * OMH * ANTPYCH * CBT CFT DBT IDD IPT TELE * PVTP * MC MD PI SF * STU * SMOP * CHLD YAD ADLT SNR * AH SP * VAPP * FPSY SPS
Vinfen Behavioral Health,,- - -,,Lawrence,MA,01841,978-674-6744,,,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CLOZA OLANZ PALIP QUETI RISPE NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PVTN * MC MD PI SF * STU * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F67 * VAPN * COOT SPS
Gunderson Residence,,- - -,,Lee,MA,02138,888-657-5699,,,,,SA MH * OP RES * RTCA * CHLOR HALOP PERPH ARIPI BREXP LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PEOFF * PVTN * SF * TAY CO TRMA PED PTSD * STU * TCC * SMON * YAD ADLT * AH * VAPN * FPSY PRS VRS CM SPS
Community Health Connections Inc,,165 Mill Street,,Leominster,MA,01453,978-878-8100,,,,,SA MH SUMH * OP * OMH * NRT NSC * CBT CFT DBT IDD IPT TELE AIM * PVTN * FQHC * MC MD PI SF SI SMHA * SS * TAY CO PTSD * STU * MST LABT * HS * TCC * SMON * CHLD YAD ADLT SNR * AH SP * VAPN * CDM DEC IMR CM IPC SPS
Mentor,South Bay,80 Erdman Way,Suite 208,Leominster,MA,01453,978-870-1840,508-427-5362,,,,SA MH SUMH * OP * CMHC * ANTPYCH * CBT CFT IDD IPT TELE * PVTP * MC MD PI SI VAF * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT FPSY CM SPS
Arbour Counseling Services,,21 George Street,,Lowell,MA,01852,978-453-5736,,,,,SA MH SUMH * OP PHDT * OMH * ARIPI CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PVTP * MC MD MI PI SF SI * TAY SE GL VET ADM MF CO HV TRMA TBI PED PTSD SMI * STU * SMON * CHLD YAD ADLT SNR * SP FX * F28 F31 F70 F92 * VAPN * COOT
Bridgewell Counseling Services,Lowell,35 Market Street,,Lowell,MA,01852,978-459-0389,978-259-1384,,,,SA MH SUMH * OP * OMH * CHLOR HALOP LOXAP ARIPI ASENA CARIP CLOZA OLANZ OLANZF PALIP QUETI RISPE ZIPRA NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * PVTN * MC MD MI PI SF SI * TAY SE GL VET CJ CO TRMA TBI ALZ PED PEFP PTSD SED SMI * TCC * SMPD * CHLD YAD ADLT SNR * SP FX * F17 * VPPD * COOT FPSY PRS SPS
Lowell Community Health Center Inc,Behavioral Health Services Outpatient,161 Jackson Street,,Lowell,MA,01852,978-937-9700 x6730,978-322-6730,978-322-8625,,,SA MH SUMH * OP * CMHC * FLUPH HALOP LOXAP PERPH CLOZA OLANZ OLANZF RISPE NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON * PVTN * FQHC MHC * CLF CMHG CSBG MC MD OSF PI PCF SF SI SMHA SWFS * PA SS * TAY SE GL VET ADM CJ CO HV TRMA TBI ALZ PED PTSD SED SMI * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F4 F31 F67 * VAPN * CDM COOT DEC FPSY ICM CM IPC SPS
Mentor South Bay,,22 Old Canal Drive,,Lowell,MA,01851,978-453-6800,800-244-4691,,,,SA MH SUMH * OP * OMH * HALOP LOXAP PERPH PROCH ARIPI BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE * PVTP * MC MD MI OSF PI SF SI * STU * TBS * TCC * SMPD * CHLD YAD ADLT SNR * FX * F67 * VPPD * COOT SPS
Vinfen Behavioral Health,,- - -,,Lowell,MA,01852,978-674-6744,,,,,SA MH SUMH * OP * CBHC * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CLOZA OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON PEOFF WI * PVTN * FG MC MD PI SF * STU * MST * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F67 * VAPN * COOT SPS
Lynn Community Health Center Inc,,- - -,,Lynn,MA,01901,781-477-7222,,781-581-3900,,,SA MH SUMH * OP * OMH * QUETI RISPE NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PVTN * FQHC * CLF CSBG MC MD MI OSF PI SEF SF SI SMHA SWFS VAF * CO PTSD * STU * MST LABT * HS PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F4 F28 F67 F70 * VAPN * CDM COOT DEC LAD CM IPC
Lynn Community Health Center Inc,,269 Union Street,,Lynn,MA,01901,781-581-3900,781-780-4555,,,,SA MH SUMH * OP * OMH * QUETI RISPE NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PVTN * FQHC * CLF CSBG MC MD MI OSF PI SEF SF SI SMHA SWFS VAF * CO PTSD * STU * MST LABT * HS PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F4 F28 F67 F70 * VAPN * CDM COOT DEC LAD CM IPC
Marblehead Counseling Center Inc,,66 Clifton Avenue,,Marblehead,MA,01945,781-631-8273,,,,,MH SUMH * OP * OMH * CBT CFT DBT EMDR GT IDD IPT TELE * PVTN * CLF MC MD MI PI PCF SF SI VAF * SE GL * HS * SMON * CHLD YAD ADLT SNR * VAPN * COOT FPSY CM SPS ES
Advocates Community Counseling,Marlborough,340 Maple Street,4th Floor,Marlborough,MA,01752,508-485-9300,508-661-2038,,,,SA MH SUMH * OP * OMH * NRT ANTPYCH * AT CBT CFT DBT GT IDD IPT TMS TELE * CIT PEOFF * PVTN * CMHG MC MD PI SF SI SMHA SWFS * SS * GL CJ CO TRMA PTSD * STU * HS PEER * SMPD * CHLD YAD ADLT SNR * AH SP FX * F67 * VPPD * COOT DEC FPSY VRS CM SPS ES
Fellside,,- - -,,Medford,MA,02153,781-648-6053,,,,,MH * OP RES * RTCA * AT CBT DBT GT IPT * PVTN * PI SF * PA SS * TAY GL CO HV TRMA SMI * SMPD * YAD ADLT SNR * VPPD * DEC PRS SEMP SH VRS CM
Steward Holy Family Hospital Methuen,Center for Behavioral Medicine,70 East Street,,Methuen,MA,01844,978-687-0156 x2947,781-278-6670,,,,MH SUMH * HI * IPSY * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI CLOZA LURAS OLANZ QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CFT GT IDD IPT * PEON WI * PVTP * MC MD MI PI SF SI * SMI * STU * LABT * TCC * SMON * YAD ADLT SNR * AH * VAPN * COOT FPSY IMR
Seahorse Behavioral Inc,,511 West Grove Street,Suite 305,Middleboro,MA,02346,508-748-3736,,,,,SA MH SUMH * OP * OMH * HALOP ARIPI BREXP CARIP LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT GT IPT TELE AIM * PVTP * MC MD MI PI SF SI * STU * HIVT STDT MST HBT HCT LABT * TCC * SMON * CHLD YAD ADLT SNR * VAPN * AOT CDM COOT SPS ES
Gould Farm,,100 Gould Road,,Monterey,MA,01245,413-528-1804,,,,,MH SUMH * OP RES * RTCA * CLOZA ANTPYCH * AT CBT DBT GT IPT AIM * PVTN * PI SF * PA SS * GL CO HV TRMA SMI * STU * MST LABT * TCC * SMPD * YAD ADLT SNR * VPPD * DEC FPSY PRS SEMP SH VRS CM
Brandon Residential Treatment Ctr,,27 Winter Street,,Natick,MA,01760,508-655-6400 x204,508-655-6400 x200,,,,MH * RES * RTCC * OLANZ RISPE ANTPYCH * AT CBT CFT DBT GT IDD IPT * PVTN * MD MI PI SCJJ SEF SF SMHA SWFS * CJ PTSD SED * SMON * CHLD * SP * VAPN * DEC FPSY PRS CM ES
Walker Community Counseling,Needham Campus,1968 Central Avenue,,Needham,MA,02492,781-292-2023,,781-898-8720,,,MH SUMH * OP * OMH * ARIPI QUETI ZIPRA ANTPYCH * CBT CFT GT IPT TELE * PVTN * CLF MD PI PCF SEF SF SI SWFS * TAY SE GL TRMA PTSD SED SMI * SMON * CHLD YAD ADLT SNR * FX * F17 F28 F31 F47 F70 F92 * VAPN * CM
Justice Resource Institute Inc,Merrimack Center,- - -,,Needham Heights,MA,02494,978-851-0790 x3652,978-851-0790,,,,MH SUMH * RES * RTCC * CHLOR HALOP ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ANTPYCH * AT CBT CFT DBT GT IPT TELE AIM * PVTN * MD PI SI SMHA SWFS * GL TRMA TBI PTSD SED * STU * LABT * TCC * SMON * CHLD * VAPN * DEC FPSY PRS CM SPS ES
All Care Wellness,,2467 Purchase Street,,New Bedford,MA,02746,781-436-3352 x1001,781-436-3352 x1027,,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP PERPH THIOR ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT EMDR IDD IPT AIM * PVTP * MHC * ITU MC MD MI PI SF SI SMHA VAF * STU * SMPD * YAD ADLT SNR * VPPD * AOT
Child and Family Services,Community Behavioral Health Center,965 Church Street,,New Bedford,MA,02745,508-996-8572,,,,,SA MH SUMH * OP * CBHC * HALOP PERPH ARIPI CLOZA OLANZ OLANZF QUETI RISPE NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * FG MC MD MI PI PCF SF SI SMHA * TAY SE GL CO TRMA PEFP * STU * HS PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH SP FX * F19 F28 F67 * VPPD * COOT FPSY CM SPS
Anna Jaques Hospital,2 North,25 Highland Avenue,,Newburyport,MA,01950,978-463-1066,,,,,SA MH SUMH * HI * IPSY * CHLOR DROPE FLUPH HALOP LOXAP PERPH THIOT ARIPI CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT DBT GT IDD * CIT PEON * PVTN * MC MD MI PI SF SI SMHA * SMI * STU * MST LABT * TCC * SMON * YAD ADLT SNR * AH * VAPN * CM
Brien Center,,124 American Legion Drive,,North Adams,MA,01247,413-664-4541,,,,,SA MH SUMH * OP * OMH * NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT * PVTN * MC MD MI OSF PI SF SI SMHA * SS * TAY SE CJ CO DV TRMA PTSD SED SMI * STU * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * COOT FPSY CM SPS
Cooley Dickinson Hospital,Behavioral Health Unit,30 Locust Street,,Northampton,MA,01060,413-582-2151,413-586-5555,,,,SA MH SUMH * HI * IPSY * CHLOR FLUPH HALOP PERPH PROCH ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT DBT GT IDD IPT * CIT PEON * PVTN * FQHC * MC MD MI PI SCJJ SF SI SMHA SWFS VAF * STU * HIVT STDT MST HBT HCT LABT * PEER * TCC * SMON * YAD ADLT SNR * AH * VAPN * COOT DEC FPSY LAD CM SPS ES
Cutchins Prog for Children/Families,,78 Pomeroy Terrace,,Northampton,MA,01060,413-584-1310 x333,413-584-1310 x327,,,,MH * OP RES * MSMH * ANTPYCH * AT CBT CFT DBT GT IPT TELE * PEON * PVTN * CLF MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * TAY GL TRMA PED PTSD SED * STU * PEER * SMON * CHLD YAD * AH * VAPN * FPSY ICM PRS VRS CM SPS ES
Cutchins Prog for Children/Families,The Childrens Clinic,17 Brewster Court,,Northampton,MA,01060,413-587-3265,,,,,MH * OP * ANTPYCH * AT CBT CFT GT IPT TELE * PVTN * CLF MD MI OSF PI SF SI SMHA SWFS * TAY TRMA PTSD SED * SMON * CHLD YAD * VAPN * FPSY
ServiceNet OP Behavioral Center,Northampton Clinic,50 Pleasant Street,,Northampton,MA,01060,413-584-6855 x2,413-584-6855 x1,,,,SA MH SUMH * OP * CBHC * FLUPH HALOP PERPH THIOR ARIPI ASENA CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NSC ANTPYCH * CBT CFT DBT GT IDD IPT TMS TELE AIM * PVTN * MC MD MI PI SF SI VAF * TAY SE GL CO TRMA SED SMI * STU * MST * HS PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP * VAPN * ACT CDM COOT DEC FPSY ICM CM IPC SPS
Trauma and Fam Integration (TFI) LLC,,73 Princeton Street,Suite 307,North Chelmsford,MA,01863,978-677-7823,,,,,MH SUMH * OP * OMH * AT CBT CFT GT IPT TELE * PEON * PVTP * MC MD PI SF SI * SS * TAY GL VET ADM MF TRMA PTSD SED SMI * SMON * CHLD YAD ADLT * AH SP FX * F4 F67 * VAPN * FPSY CM
Gosnold Counseling Center,North Dartmouth Outpatient,74 Faunce Corner Mall Road,Unit 640,North Dartmouth,MA,02747,508-999-3886,800-444-1554,,,,SA MH SUMH * OP PHDT * CBHC * CHLOR HALOP ARIPI BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PEON PEOFF * PVTN * ITU MC MD MI PI SCJJ SF SI * TAY SE GL CJ CO TRMA * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT FPSY ICM CM SPS
Riverside OP Center at Norwood,,190 Lenox Street,,Norwood,MA,02062,781-769-8670,781-769-8670 x6075,,,,SA MH SUMH * OP * CMHC * CHLOR DROPE FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE AIM * PEON PEOFF WI * PVTN * MC MD PI SF * GL CO TRMA PTSD SED SMI * STU * LABT * PEER * SMPD * CHLD YAD ADLT SNR * AH SP * VPPD * FPSY
CHD,Outpatient Behavioral Health Servs,131 West Main Street,,Orange,MA,01364,978-544-2148,844-243-4357,,,,SA MH SUMH * OP * CMHC * ANTPYCH * CBT CFT GT IDD IPT TELE * PEON * PVTN * CMHG MC MD MI PI SF SI * SS * CJ SMI * STU * HS PEER * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT FPSY CM SPS
Griswold Behavioral Health Center,,42 Wright Street,,Palmer,MA,01069,413-370-5285,413-370-8517,,,,SA MH SUMH * OP * OMH * FLUPH HALOP ARIPI CLOZA OLANZ PALIP QUETI RISPE ANTPYCH * CBT CFT GT IPT TELE * CIT PEON * PVTN * MC MD MI PI SF SI * STU * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN
Brien Center,CBHC and Emergency Services,334 Fenn Street,,Pittsfield,MA,01201,800-252-0227,,,,,SA MH SUMH * OP * AT CBT CFT DBT GT IPT TELE * CIT PEON PEOFF WI * PVTN * CLF MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * SS * PEER * SMOP * CHLD YAD ADLT SNR * AH SP FX * F28 * VAPP * DEC FPSY CM SPS
Brien Center,MH/Subst Abuse Servs/Satellite,251 Fenn Street,,Pittsfield,MA,01201,413-499-0412 x1374,413-499-0412 x1560,,,,SA MH SUMH * OP * OMH * OLANZF RISPE NRT ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEOFF * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS * PA SS * TAY GL MF CO TRMA PED PTSD SED SMI * STU * TCC * SMON * CHLD YAD * AH SP * VAPN * COOT FPSY ICM PRS CM
ServiceNet OP Behavioral Center,Pittsfield Clinic,139 North Street,Suite 305,Pittsfield,MA,01201,413-584-6855 x2,413-584-6855,413-584-6855 x1,,,SA MH SUMH * OP * CMHC * FLUPH HALOP PERPH THIOR ARIPI ASENA CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NSC ANTPYCH * CBT CFT IDD IPT TELE AIM * PVTN * MC MD MI PI SF SI VAF * SE TRMA SMI * STU * SMON * CHLD YAD ADLT SNR * AH * VAPN * COOT FPSY SPS
VA Central Western Massachusetts,Pittsfield Outpatient Clinic,78 Center Street,Silvio Conte Building,Pittsfield,MA,01201,413-584-4040 x6300,,,,,SA MH SUMH * OP * VAHC * NRT NSC ANTPYCH * CBT CFT GT IDD IPT TELE * WI * FED VAMC * MC MD MI PI SF VAF * SE GL VET ADM MF CJ CO TRMA TBI ALZ PTSD SMI * STU * LABT * HS * TCC * SMON * YAD ADLT SNR * VAPN * COOT DEC FPSY ICM SEMP SH VRS CM IPC SPS
High Point OTP Plymouth,,61 Industrial Park Road,,Plymouth,MA,02360,508-830-1234,774-773-6668,,,,SA MH SUMH * OP * OMH * ANTPYCH * CBT GT IPT TELE * CIT PEON PEOFF WI * PVTN * MC MD PI SF SI * PA SS * TAY SE GL VET ADM CO HV DV TRMA TBI PTSD * STU * PEER * TCC * SMPD * YAD ADLT SNR * AH * VPPD * COOT FPSY CM SPS
Cape Cod and Islands CMHC,,830 County Road,,Pocasset,MA,02559,508-564-9600,508-957-0900,800-387-0222,,,SA MH SUMH * HI PHDT * PSY * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR ARIPI CLOZA OLANZ OLANZF QUETI RISPE ZIPRA NRT ANTPYCH * AT CBT DBT GT IDD IPT AIM * STG * FQHC * MC MD MI PI SF SI SMHA VAF * PA * CO TRMA PTSD SMI * STU * MST LABT * PEER * SMON * YAD ADLT SNR * AH * VAPN * COOT DEC IMR SPS
